URL,Ubicación,Precio ARS,Precio USD,Sup. cubierta,Dormitorios,Antigüedad,Baños,Ambientes,Cocheras,Toilettes,Sup. terreno,Expensas,Estado,Disposición,Orientación,Tipo de local,Sup. total,Plantas,En Edificio,Antiguedad,Apto profesional,Seguridad,Permite mascota,Tipo de Baño,Longitud del frente,Longitud del fondo,Superficie Total,Sup. descubierta,Longitud del Frente,Longitud del Fondo,Habitaciones,FOT,Altura Techo,Agua corriente,Tipo de cochera,Tipo de cobertura,Tipo de acceso,Tipo de Terreno,Sup. Total,Tipo de coche,Galería/Shopping,Toilletes,Superficie cubierta,Descripción,Cantidad baños,Sup. Cubierta,Pileta
https://www.argenprop.com/casa-en-alquiler-en-funes-5-ambientes--13181877,Las Rosas 900,,800,150  m² Cubierta,3 dormitorios,13 años,1 baño,5 ambientes,2 cocheras,2 toilettes,1.150  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-yoo-nordelta-2-ambientes--8326570,"Av. del Golf   600, Piso 5",,1,120  m² Cubierta,1 dormitorio,,2 baños,2 ambientes,1 cocheras,1 toilettes,,No se encontraron expensas,Excelente,Frente,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-sarmiento-3-ambientes--14423380,Sorrento 600,,,92  m² Cubierta,2 dormitorios,,1 baño,3 ambientes,,,128  m² Terreno,No se encontraron expensas,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-mar-del-plata-5-ambientes--12728155,"Santa Fe 3650, entre Quintana y Saavedra",,,,3 dormitorios,65 años,3 baños,5 ambientes,1 cochera,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-belgrano--11960323,Del Libertador Av. al 6300,,35,1.587  m² Cubierta,,A Estrenar,1 baño,,20 cocheras,,,+ $2.079.404 expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito--14154706,"Av San Martin 1700, Piso PB",,,,,A Estrenar,3 baños,,,,,+ $50.000 expensas,Excelente,,,Via Pública,250  m² Total,1 planta,En edificio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-nordelta--13188870,La Reconquista 2400,,2,257  m² Cubierta,,A Estrenar,,,1 cochera,,,No se encontraron expensas,Muy Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta--14398396,Callao  al 1600,,2,220  m² Cubierta,4 dormitorios,,2 baños,,,,,+ $160.000 expensas,,,,,,,,25 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-sarmiento-5-ambientes--14423109,Asamblea al 400,,,190  m² Cubierta,4 dormitorios,A Estrenar,2 baños,5 ambientes,1 cochera,,130  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--13251506,Roosevelt 2100,,600,41  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,+ $41.100 expensas,Excelente,Contra frente,Norte,,,,,A Estrenar,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
