URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Antiguedad [años],Baños,Ambientes,Cocheras,Estado,Disposición,Orientación,Antigüedad [años],Sup. terreno [m²],Toilettes,Sup. total [m²],Plantas,Apto profesional,Tipo de cochera,Tipo de cobertura,Tipo de coche,Tipo de acceso,Permite mascota,Longitud del frente,Longitud del fondo,FOT,Altura Techo,Seguridad,Tipo de local,En Edificio,Galería/Shopping,Tipo de Baño,Sup. descubierta [m²],Agua corriente,Superficie Total,Longitud del Frente,Longitud del Fondo,Tipo de Terreno,Sup. Total,Superficie cubierta,Cantidad baños,Sup. Cubierta,Pileta,Toilletes,Habitaciones,Descripción
https://www.argenprop.com/departamento-en-alquiler-en-palermo-nuevo-3-ambientes--12547629,CERVIÑO 4500,,2600,,82.0,2,12.0,2.0,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--13023907,Rodriguez Peña  1600,,6800,350000,317.0,4,70.0,5.0,5,3.0,Excelente,Contra Frente,Noroeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--13194791,Buschiazzo  y Libertador,,1300,138000,138.0,3,50.0,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-caballito--12653583,Nicasio Oroño 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-acassuso-santa-fe-fleming-6-ambientes--14081358,Catamarca 60,,2100,,260.0,3,,4.0,6,3.0,,,,A Estrenar,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-ayres-plaza-5-ambientes--12757596,AYRES PLAZA,,2300,,235.0,3,,3.0,5,2.0,,,,2,619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-haras-del-sur-2--11619020,Haras del Sur II,,1800,,276.0,4,,2.0,,1.0,,,,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-4-ambientes--12819417,lagoon,,1600,,200.0,3,,4.0,4,2.0,,,,2,521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-ayres-de-pilar-8-ambientes--13112291,Casa en venta y alquiler en Ayres de Pilar,,3200,,282.0,4,,3.0,8,4.0,,,,15,969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-martinez-12-ambientes--13662258,Dr. Francisco Muñiz 1200,,9800,,843.0,6,,5.0,12,3.0,,,Este,23,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-nordelta-los-alisos-4-ambientes--12591175,Barrio  Los Alisos - Nordelta,,1800,,234.0,3,,3.0,4,,,,,6,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-mayling-club-de-campo-4-ambientes--13180390,Casa en alquiler anual en Mayling Club de Campo,,2500,,390.0,3,,2.0,4,,,,,25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-pilar-8-ambientes--12850855,Avenida Highland  100,,4000,,780.0,5,,8.0,8,4.0,,,Norte,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--14283404,"Dr T De Anchorena 1100, Piso 8",,500,,42.0,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-las-araucarias-5-ambientes--12562379,Consultar dirección,,1000,,146.0,4,,2.0,5,2.0,Excelente,,Noroeste,A Estrenar,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--13242062,Bulnes al 2700,,2000,50000,80.0,2,10.0,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-saint-matthews-4-ambientes--12340308,St Mathews,,1500,,300.0,3,,4.0,4,6.0,Bueno,,,15,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-ayres-plaza-5-ambientes--12895694,AYRES PLAZA,,2300,,,3,,3.0,5,2.0,,,,A Estrenar,619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-la-canada-de-pilar-4-ambientes--11997813,"Alquiler , Oportunidad!!!-la CaÑada- Pilar",,1000,,122.0,3,,2.0,4,2.0,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--12662447,Charcas  2000,,600,,30.0,,,1.0,0,,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-belgrano--12710825,Av. del Libertador  al 5700,5560027,,,,,,,,,,,,,,,210.0,1 planta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-3-ambientes--13189883,DEL LIBERTADOR AV. 1700,,2200,,122.0,2,,2.0,3,1.0,Excelente,Contra frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12987993,"Parera 100, Piso 5",,2000,190000,160.0,3,70.0,3.0,4,,Excelente,Frente,Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
