URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Baños,Ambientes,Cocheras,Sup. terreno [m²],Antiguedad [años],Estado
https://www.argenprop.com/casa-en-alquiler-en-pilar-del-este-los-jazminez-4-ambientes--14397465,Honorio Pueyrredón 5500,,1400.0,,160.0,3.0,2.0,4.0,4.0,1.0,,Bueno
https://www.argenprop.com/casa-en-alquiler-en-los-pilares-3-ambientes--12108170,Barrio Los Pilares,,1000.0,,,2.0,2.0,3.0,2.0,800.0,14.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-3-ambientes--13470034,Av. Balbin  2400,,1100.0,,76.0,2.0,2.0,3.0,1.0,,11.0,Muy Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--14365692,Juramento al 1400,,250.0,17500.0,35.0,,1.0,0.0,,,40.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-village-golf-and-tenis-club-6-ambientes--12028779,Village Golf & Tennis,,4000.0,,330.0,4.0,2.0,6.0,1.0,900.0,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--13766842,Mariscal Sucre  al 2300,,420.0,,38.0,,1.0,0.0,,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-acassuso-9-ambientes--12897785,José Hernández 300,,5000.0,,578.0,5.0,4.0,9.0,2.0,702.0,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-san-isidro-4-ambientes--12772559,Blanco Encalada 800 - La Horqueta -,,4500.0,,380.0,3.0,6.0,4.0,2.0,1.0,30.0,Muy Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-santa-fe-fleming-3-ambientes--12596609,"Castelli 1077, Martínez, San Isidro, Condominio San Isidro Loft, Planta baja Depto 028",,2000.0,,130.0,2.0,2.0,3.0,1.0,,11.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--14391539,Gral Lucio Mansilla 2600,600000.0,545.4545454545455,39000.0,70.0,1.0,1.0,2.0,,,12.0,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-1-ambiente--14132053,Avenida Agustin M. García al 5500,,500.0,,51.0,,1.0,0.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--14435987,Palpa al 2400,290000.0,263.6363636363636,,32.0,1.0,1.0,0.0,,,6.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-3-ambientes--13434094,Uriarte al 1400,,650.0,,55.0,2.0,1.0,3.0,,,40.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--14436779,Avenida Luis Maria Campos al 1300,,600.0,,38.0,1.0,1.0,0.0,,,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14369452,O'Higgins  al 1600,,2800.0,110000.0,169.0,3.0,3.0,4.0,1.0,,60.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-acassuso-4-ambientes--6162814,Av Del Libertador  14000 14000,,3500.0,20000.0,250.0,3.0,2.0,4.0,,,38.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-2-ambientes--14101076,ACQUA GOLF,,700.0,80000.0,60.0,1.0,1.0,2.0,1.0,,3.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-2-ambientes--14133961,VELEZ SARSFIELD  2054 - 3º D,,1400.0,,60.0,1.0,1.0,2.0,2.0,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-horqueta--12780946,BERMEJO al 2400,,1700.0,,330.0,4.0,4.0,,1.0,410.0,30.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14437262,Arcos al 2600,,1000.0,50000.0,,1.0,1.0,2.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--14422542,Monroe 2700,300000.0,272.72727272727275,39000.0,35.0,,1.0,0.0,1.0,,30.0,Bueno
